stock_code,stock_name,first_st_date,t_year,t_minus_2_year,st_type,st_reason,csrc_industry,ipo_date,years_listed_to_st,st_history,label
300173.SZ,ST福能,2025-12-23,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,2011-02-01,14.8911704312115,ST:20251223,1
600079.SH,ST人福,2025-12-16,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,医药制造业,1997-06-06,28.528405201916495,ST:20251216,1
603822.SH,ST嘉澳,2025-12-11,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,石油加工、炼焦和核燃料加工业,2016-04-28,9.620807665982204,ST:20251211,1
300460.SZ,ST惠伦,2025-12-11,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,计算机、通信和其他电子设备制造业,2015-05-15,10.576317590691307,ST:20251211,1
002689.SZ,ST远智,2025-12-02,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,通用设备制造业,2012-07-17,13.377138945927447,ST:20251202,1
600169.SH,ST太重,2025-11-04,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,1998-09-04,27.16769336071184,ST:20251104,1
603595.SH,ST东尼,2025-10-31,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,计算机、通信和其他电子设备制造业,2017-07-12,8.303901437371664,ST:20251031,1
000698.SZ,ST沈化,2025-10-10,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,石油加工、炼焦和核燃料加工业,1997-02-20,28.635181382614647,ST:20251010,1
300237.SZ,ST美晨,2025-09-30,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,土木工程建筑业,2011-06-29,14.255989048596852,ST:20250930,1
688053.SH,ST思科瑞,2025-09-23,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专业技术服务业,2022-07-08,3.2114989733059547,ST:20250923,1
300366.SZ,ST创意,2025-09-23,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,软件和信息技术服务业,2014-01-27,11.655030800821356,ST:20250923,1
603517.SH,ST绝味,2025-09-23,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,农副食品加工业,2017-03-17,8.5201916495551,ST:20250923,1
600624.SH,ST复华,2025-09-23,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,医药制造业,1993-01-05,32.714579055441476,ST:20250923,1
603825.SH,ST华扬,2025-08-26,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,互联网和相关服务,2017-08-02,8.06570841889117,ST:20250826,1
300527.SZ,ST应急,2025-08-01,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,2016-08-05,8.988364134154688,ST:20250801,1
688076.SH,ST诺泰,2025-07-22,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,医药制造业,2021-05-20,4.172484599589322,ST:20250722,1
